participant_id,domain,n_items,overall_accuracy,completion_time_min
P001,psychology,8,1.0,38.9
P002,psychology,8,0.75,29.8
P003,psychology,9,0.8889,24.3
P004,psychology,9,0.6667,29.6
P005,psychology,8,0.75,31.5
P006,psychology,9,0.7778,34.2
P007,psychology,8,0.875,21.4
P008,psychology,8,0.875,47.1
P009,psychology,8,0.5,37.3
P010,psychology,8,0.75,35.3
P011,psychology,9,0.6667,34.8
P012,psychology,9,0.8889,28.1
P013,psychology,8,0.875,24.0
P014,general,8,0.75,39.9
P015,general,8,0.75,19.3
P016,general,8,0.625,28.3
P017,general,8,0.75,41.4
P018,general,8,0.75,21.0
P019,general,9,1.0,28.2
P020,general,8,0.375,36.3
P021,general,8,0.75,26.7
P022,general,8,0.625,31.7
P023,general,8,0.625,33.7
P024,general,8,0.75,39.6
P025,general,9,0.8889,39.1
