Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
rameshln/cog-attention,deepseek-r1-0528,,1,"2026-04-04 12:58:09",0.8947368421052632,,,
rameshln/cog-attention,deepseek-r1-0528,cogattention_blink,1,"2026-03-19 15:44:59",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_inhibition_return,1,"2026-03-19 15:26:22",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_flanker,1,"2026-03-19 15:30:54",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_context_dilution,1,"2026-03-19 15:20:08",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_semantic_niah,1,"2026-03-19 15:24:32",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_multihop,1,"2026-03-19 15:26:10",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_visual_stroop,1,"2026-04-01 13:28:37",,,,False
rameshln/cog-attention,deepseek-r1-0528,cogattention_visual_inattentional,1,"2026-04-01 14:25:02",,,,False
rameshln/cog-attention,deepseek-r1-0528,cogattention_blinks,1,"2026-04-04 12:30:34",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_capacity,1,"2026-04-04 12:30:45",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_stream_segregation,1,"2026-04-04 12:45:34",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_interference,1,"2026-04-04 12:30:26",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_sustained,1,"2026-04-04 12:32:10",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_selective,1,"2026-04-04 12:45:54",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_flankers,1,"2026-04-04 12:48:57",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_stroop,1,"2026-04-04 12:55:48",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_shifting,1,"2026-04-04 12:56:19",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_inhibition_return1,1,"2026-04-04 12:56:19",,,,True
rameshln/cog-attention,deepseek-r1-0528,cogattention_anomaly1,1,"2026-04-04 12:58:09",,,,True
rameshln/cog-attention,gemini-2.5-flash,,1,"2026-04-04 12:30:01",0.8421052631578947,,,
rameshln/cog-attention,gemini-2.5-flash,cogattention_blink,1,"2026-03-19 14:35:40",,,,False
rameshln/cog-attention,gemini-2.5-flash,cogattention_inhibition_return,1,"2026-03-19 15:06:11",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_flanker,1,"2026-03-19 14:59:08",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_context_dilution,1,"2026-03-19 15:10:57",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_semantic_niah,1,"2026-03-19 15:11:40",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_multihop,1,"2026-03-19 15:12:01",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_visual_stroop,1,"2026-03-20 18:18:22",,,,False
rameshln/cog-attention,gemini-2.5-flash,cogattention_visual_inattentional,1,"2026-04-01 12:46:42",,,,False
rameshln/cog-attention,gemini-2.5-flash,cogattention_blinks,1,"2026-04-04 12:30:01",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_capacity,1,"2026-04-04 12:29:59",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_stream_segregation,1,"2026-04-04 12:07:37",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_interference,1,"2026-04-04 12:29:58",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_sustained,1,"2026-04-04 12:07:50",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_selective,1,"2026-04-04 12:10:03",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_flankers,1,"2026-04-04 12:10:36",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_stroop,1,"2026-04-04 12:10:44",,,,True
